threadId,layerId,Cout,Cin,H,W,R,S,type
0,0,3,3,224,224,1,1,0
0,1,32,3,112,112,3,3,1
0,2,32,32,112,112,3,3,2
0,3,64,32,112,112,1,1,1
0,4,64,64,56,56,3,3,2
0,5,128,64,56,56,1,1,1
0,6,128,128,56,56,3,3,2
0,7,128,128,56,56,1,1,1
0,8,128,128,28,28,3,3,2
0,9,256,128,28,28,1,1,1
0,10,256,256,28,28,3,3,2
0,11,256,256,28,28,1,1,1
0,12,256,256,14,14,3,3,2
0,13,512,256,14,14,1,1,1
0,14,512,512,14,14,3,3,2
0,15,512,512,14,14,1,1,1
0,16,512,512,14,14,3,3,2
0,17,512,512,14,14,1,1,1
0,18,512,512,14,14,3,3,2
0,19,512,512,14,14,1,1,1
0,20,512,512,14,14,3,3,2
0,21,512,512,14,14,1,1,1
0,22,512,512,14,14,3,3,2
0,23,512,512,14,14,1,1,1
0,24,512,512,7,7,3,3,2
0,25,1024,512,7,7,1,1,1
0,26,1024,1024,7,7,3,3,2
0,27,1024,1024,7,7,1,1,1
0,28,1024,1024,1,1,7,7,0
0,29,1000,1024,1,1,1,1,3